REF MADRE;EAN PRODUCT;NOMBRE (SIN TALLA);MARCA;PVP +IVA;ID IVA;PRODUCT CATEGORIA;CATEGORIAS;CARACTERISTICAS;GAMA;FILTROS;PRODUCT;META-DESCRIPCION;URL IMGs;DESCRIPCION LARGA;ANCHURA;ALTURA;PROFUNDIDAD;PESO;ID DISPONIBILIDAD;ACTIVO;DISP. PEDIDOS;TEMPORADA;TALLAS;GENERO;EDAD;COLOR;REF COMBI;EAN COMBI;NOMBRE COMBI:TIPO;;REF;NOMBRE;PROVEEDOR;FAMILIA;SUBFAMILIA;P.COMPRA;PVP (+IVA);EAN;ALT 1;ALT 2;ALT 3;UNIDAD;LOTE;PESO;CODNC;LIBRE1=MARCA;LIBRE2=TEMPORADA;LIBRE3=PRODUCTO;LIBRE4=GAMA/MODELO
2174-115;;Botas Gaerne Sg12 - Realm;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-115-1.jpg,https://mxzambrana.com/img-tmp/2174-115-2.jpg,https://mxzambrana.com/img-tmp/2174-115-3.jpg,https://mxzambrana.com/img-tmp/2174-115-4.jpg,https://mxzambrana.com/img-tmp/2174-115-5.jpg,https://mxzambrana.com/img-tmp/2174-115-6.jpg,https://mxzambrana.com/img-tmp/2174-115-7.jpg;;40;60;18;3;2;1;1;2025;41;Hombre;Adulto;;2174-41-115;8053435540773;Talla:select;;2169-33-004;BOTAS NIÑO GAERNE GXJ - BLANCO/NEGRO - 33;787;GAE;;139,62;259,9;8,05344E+12;2169-004-33;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-115;;Botas Gaerne Sg12 - Realm;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-115-1.jpg,https://mxzambrana.com/img-tmp/2174-115-2.jpg,https://mxzambrana.com/img-tmp/2174-115-3.jpg,https://mxzambrana.com/img-tmp/2174-115-4.jpg,https://mxzambrana.com/img-tmp/2174-115-5.jpg,https://mxzambrana.com/img-tmp/2174-115-6.jpg,https://mxzambrana.com/img-tmp/2174-115-7.jpg;;40;60;18;3;2;1;1;2025;42;Hombre;Adulto;;2174-42-115;8053435540780;Talla:select;;2169-34-004;BOTAS NIÑO GAERNE GXJ - BLANCO/NEGRO - 34;787;GAE;;139,62;259,9;8,05344E+12;2169-004-34;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-115;;Botas Gaerne Sg12 - Realm;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-115-1.jpg,https://mxzambrana.com/img-tmp/2174-115-2.jpg,https://mxzambrana.com/img-tmp/2174-115-3.jpg,https://mxzambrana.com/img-tmp/2174-115-4.jpg,https://mxzambrana.com/img-tmp/2174-115-5.jpg,https://mxzambrana.com/img-tmp/2174-115-6.jpg,https://mxzambrana.com/img-tmp/2174-115-7.jpg;;40;60;18;3;2;1;1;2025;43;Hombre;Adulto;;2174-43-115;8053435540797;Talla:select;;2169-35-004;BOTAS NIÑO GAERNE GXJ - BLANCO/NEGRO - 35;787;GAE;;139,62;259,9;8,05344E+12;2169-004-35;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-115;;Botas Gaerne Sg12 - Realm;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-115-1.jpg,https://mxzambrana.com/img-tmp/2174-115-2.jpg,https://mxzambrana.com/img-tmp/2174-115-3.jpg,https://mxzambrana.com/img-tmp/2174-115-4.jpg,https://mxzambrana.com/img-tmp/2174-115-5.jpg,https://mxzambrana.com/img-tmp/2174-115-6.jpg,https://mxzambrana.com/img-tmp/2174-115-7.jpg;;40;60;18;3;2;1;1;2025;44;Hombre;Adulto;;2174-44-115;8053435540803;Talla:select;;2169-36-004;BOTAS NIÑO GAERNE GXJ - BLANCO/NEGRO - 36;787;GAE;;139,62;259,9;8,05344E+12;2169-004-36;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-115;;Botas Gaerne Sg12 - Realm;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-115-1.jpg,https://mxzambrana.com/img-tmp/2174-115-2.jpg,https://mxzambrana.com/img-tmp/2174-115-3.jpg,https://mxzambrana.com/img-tmp/2174-115-4.jpg,https://mxzambrana.com/img-tmp/2174-115-5.jpg,https://mxzambrana.com/img-tmp/2174-115-6.jpg,https://mxzambrana.com/img-tmp/2174-115-7.jpg;;40;60;18;3;2;1;1;2025;44.5;Hombre;Adulto;;2174-44.5-115;8053435540810;Talla:select;;2169-37-004;BOTAS NIÑO GAERNE GXJ - BLANCO/NEGRO - 37;787;GAE;;139,62;259,9;8,05344E+12;2169-004-37;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-115;;Botas Gaerne Sg12 - Realm;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-115-1.jpg,https://mxzambrana.com/img-tmp/2174-115-2.jpg,https://mxzambrana.com/img-tmp/2174-115-3.jpg,https://mxzambrana.com/img-tmp/2174-115-4.jpg,https://mxzambrana.com/img-tmp/2174-115-5.jpg,https://mxzambrana.com/img-tmp/2174-115-6.jpg,https://mxzambrana.com/img-tmp/2174-115-7.jpg;;40;60;18;3;2;1;1;2025;45;Hombre;Adulto;;2174-45-115;8053435540827;Talla:select;;2169-38-004;BOTAS NIÑO GAERNE GXJ - BLANCO/NEGRO - 38;787;GAE;;139,62;259,9;8,05344E+12;2169-004-38;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-115;;Botas Gaerne Sg12 - Realm;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-115-1.jpg,https://mxzambrana.com/img-tmp/2174-115-2.jpg,https://mxzambrana.com/img-tmp/2174-115-3.jpg,https://mxzambrana.com/img-tmp/2174-115-4.jpg,https://mxzambrana.com/img-tmp/2174-115-5.jpg,https://mxzambrana.com/img-tmp/2174-115-6.jpg,https://mxzambrana.com/img-tmp/2174-115-7.jpg;;40;60;18;3;2;1;1;2025;46;Hombre;Adulto;;2174-46-115;8053435540834;Talla:select;;2169-39-004;BOTAS NIÑO GAERNE GXJ - BLANCO/NEGRO - 39;787;GAE;;139,62;259,9;8,05344E+12;2169-004-39;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-115;;Botas Gaerne Sg12 - Realm;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-115-1.jpg,https://mxzambrana.com/img-tmp/2174-115-2.jpg,https://mxzambrana.com/img-tmp/2174-115-3.jpg,https://mxzambrana.com/img-tmp/2174-115-4.jpg,https://mxzambrana.com/img-tmp/2174-115-5.jpg,https://mxzambrana.com/img-tmp/2174-115-6.jpg,https://mxzambrana.com/img-tmp/2174-115-7.jpg;;40;60;18;3;2;1;1;2025;47;Hombre;Adulto;;2174-47-115;8053435540841;Talla:select;;2169-39.5-004;BOTAS NIÑO GAERNE GXJ - BLANCO/NEGRO - 39.5;787;GAE;;139,62;259,9;8,05344E+12;2169-004-39,5;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-115;;Botas Gaerne Sg12 - Realm;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-115-1.jpg,https://mxzambrana.com/img-tmp/2174-115-2.jpg,https://mxzambrana.com/img-tmp/2174-115-3.jpg,https://mxzambrana.com/img-tmp/2174-115-4.jpg,https://mxzambrana.com/img-tmp/2174-115-5.jpg,https://mxzambrana.com/img-tmp/2174-115-6.jpg,https://mxzambrana.com/img-tmp/2174-115-7.jpg;;40;60;18;3;2;1;1;2025;48;Hombre;Adulto;;2174-48-115;8053435540858;Talla:select;;2169-40-004;BOTAS NIÑO GAERNE GXJ - BLANCO/NEGRO - 40;787;GAE;;139,62;259,9;8,05344E+12;2169-004-40;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-118;;Botas Gaerne Sg12 - Forge;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-118-1.jpg,https://mxzambrana.com/img-tmp/2174-118-2.jpg,https://mxzambrana.com/img-tmp/2174-118-3.jpg,https://mxzambrana.com/img-tmp/2174-118-4.jpg,https://mxzambrana.com/img-tmp/2174-118-5.jpg,https://mxzambrana.com/img-tmp/2174-118-6.jpg,https://mxzambrana.com/img-tmp/2174-118-7.jpg;;40;60;18;3;2;1;1;2025;41;Hombre;Adulto;;2174-41-118;8053435540865;Talla:select;;2169-41-004;BOTAS NIÑO GAERNE GXJ - BLANCO/NEGRO - 41;787;GAE;;139,62;259,9;8,05344E+12;2169-004-41;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-118;;Botas Gaerne Sg12 - Forge;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-118-1.jpg,https://mxzambrana.com/img-tmp/2174-118-2.jpg,https://mxzambrana.com/img-tmp/2174-118-3.jpg,https://mxzambrana.com/img-tmp/2174-118-4.jpg,https://mxzambrana.com/img-tmp/2174-118-5.jpg,https://mxzambrana.com/img-tmp/2174-118-6.jpg,https://mxzambrana.com/img-tmp/2174-118-7.jpg;;40;60;18;3;2;1;1;2025;42;Hombre;Adulto;;2174-42-118;8053435540872;Talla:select;;2169-33-008;BOTAS NIÑO GAERNE GXJ - NEGRO/NARANJA - 33;787;GAE;;139,62;259,9;8,05344E+12;2169-008-33;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
