REF MADRE;EAN PRODUCT;NOMBRE (SIN TALLA);MARCA;PVP +IVA;ID IVA;PRODUCT CATEGORIA;CATEGORIAS;CARACTERISTICAS;GAMA;FILTROS;PRODUCT;META-DESCRIPCION;URL IMGs;DESCRIPCION LARGA;ANCHURA;ALTURA;PROFUNDIDAD;PESO;ID DISPONIBILIDAD;ACTIVO;DISP. PEDIDOS;TEMPORADA;TALLAS;GENERO;EDAD;COLOR;REF COMBI;EAN COMBI;NOMBRE COMBI:TIPO;;REF;NOMBRE;PROVEEDOR;FAMILIA;SUBFAMILIA;P.COMPRA;PVP (+IVA);EAN;ALT 1;ALT 2;ALT 3;UNIDAD;LOTE;PESO;CODNC;LIBRE1=MARCA;LIBRE2=TEMPORADA;LIBRE3=PRODUCTO;LIBRE4=GAMA/MODELO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0435198001A;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 43,44 MM + KIT JUNTAS PARTE SUPERIOR YZ 65 2018-2023;622;ATEN;KP+JA;49,18757686;121,4632;8053300717897;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0435198001B;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 43,45 MM + KIT JUNTAS PARTE SUPERIOR YZ 65 2018-2023;622;ATEN;KP+JA;49,18757686;121,4632;8053300717903;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0435198001C;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 43,46 MM + KIT JUNTAS PARTE SUPERIOR YZ 65 2018-2023;622;ATEN;KP+JA;44,01981818;108,702;8053300717941;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0445008001A;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 44,45 MM + KIT JUNTAS PARTE SUPERIOR KX 65 2000-2024;622;ATEN;KP+JA;44,01981818;108,702;8053300717958;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0445008001B;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 44,46 MM + KIT JUNTAS PARTE SUPERIOR KX 65 2000-2024;622;ATEN;KP+JA;44,01981818;108,702;8053300717965;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0445008001C;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 44,47 MM + KIT JUNTAS PARTE SUPERIOR KX 65 2000-2024;622;ATEN;KP+JA;46,59381653;115,0582;8053300717743;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0450047002A;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 44,96 MM + KIT JUNTAS PARTE SUPERIOR MC 65 2021-2023;622;ATEN;KP+JA;46,59381653;115,0582;8053300717750;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0450047002B;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 44,97 MM + KIT JUNTAS PARTE SUPERIOR MC 65 2021-2023;622;ATEN;KP+JA;46,59381653;115,0582;8053300717767;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0450047002C;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 44,98 MM + KIT JUNTAS PARTE SUPERIOR MC 65 2021-2023;622;ATEN;KP+JA;46,59381653;115,0582;8053300717774;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0450047002D;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 44,99 MM + KIT JUNTAS PARTE SUPERIOR MC 65 2021-2023;622;ATEN;KP+JA;50,59561818;124,9402;8053300717705;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
