marca;modelo;ano;products_ref
"KTM";"250 SX";"1985";"W10892M07150"
"KTM";"250 SX";"1985";"W10892M07250"
"Husaberg";"FE 250";"2013";"W11035M07800"
"KTM";"250 EXC-F";"2007";"W11035M07800"
"KTM";"250 EXC-F";"2008";"W11035M07800"
"KTM";"250 EXC-F";"2009";"W11035M07800"
"KTM";"250 EXC-F";"2010";"W11035M07800"
"KTM";"250 EXC-F";"2011";"W11035M07800"
"KTM";"250 EXC-F";"2012";"W11035M07800"
"KTM";"250 EXC-F";"2013";"W11035M07800"
"KTM";"250 SX-F";"2006";"W11035M07800"
"KTM";"250 SX-F";"2007";"W11035M07800"
"KTM";"250 SX-F";"2008";"W11035M07800"
"KTM";"250 SX-F";"2009";"W11035M07800"
"KTM";"250 SX-F";"2010";"W11035M07800"
"KTM";"250 SX-F";"2011";"W11035M07800"
"KTM";"250 SX-F";"2012";"W11035M07800"
"Husaberg";"FE 250";"2013";"W11047M07800"
"KTM";"250 EXC-F";"2007";"W11047M07800"
"KTM";"250 EXC-F";"2008";"W11047M07800"
"KTM";"250 EXC-F";"2009";"W11047M07800"
"KTM";"250 EXC-F";"2010";"W11047M07800"
"KTM";"250 EXC-F";"2011";"W11047M07800"
"KTM";"250 EXC-F";"2012";"W11047M07800"
"KTM";"250 EXC-F";"2013";"W11047M07800"
"KTM";"250 SX-F";"2006";"W11047M07800"
"KTM";"250 SX-F";"2007";"W11047M07800"
"KTM";"250 SX-F";"2008";"W11047M07800"
"KTM";"250 SX-F";"2009";"W11047M07800"
"KTM";"250 SX-F";"2010";"W11047M07800"
"KTM";"250 SX-F";"2011";"W11047M07800"
"KTM";"250 SX-F";"2012";"W11047M07800"
"Husqvarna";"CR 250";"1985";"W137M06950"
"Husqvarna";"WR 250";"1985";"W137M06950"
"Husqvarna";"CR 250";"1985";"W137M07000"
"Husqvarna";"WR 250";"1985";"W137M07000"
"Husqvarna";"CR 250";"1985";"W137M07050"
"Husqvarna";"WR 250";"1985";"W137M07050"
"Husqvarna";"CR 250";"1985";"W137M07100"
"Husqvarna";"WR 250";"1985";"W137M07100"
"Yamaha";"YZ 80";"1985";"W222M04700"
"Yamaha";"YZ 80";"1985";"W222M04750"
"Yamaha";"YZ 80";"1985";"W222M04800"
"Yamaha";"YZ 80";"1985";"W222M04850"
"Yamaha";"YZ 250";"1985";"W234M07000"
"Yamaha";"YZ 250";"1985";"W234M07050"
"Yamaha";"YZ 250";"1985";"W234M07100"
"Yamaha";"YZ 250";"1985";"W234M07150"
"Yamaha";"YZ 250";"1985";"W234M07200"
"Yamaha";"YZ 450 F";"2010";"W40001M09700A"
"Yamaha";"YZ 450 F";"2011";"W40001M09700A"
"Yamaha";"YZ 450 F";"2012";"W40001M09700A"
"Yamaha";"YZ 450 F";"2013";"W40001M09700A"
"Yamaha";"YZ 450 F";"2010";"W40001M09700B"
"Yamaha";"YZ 450 F";"2011";"W40001M09700B"
"Yamaha";"YZ 450 F";"2012";"W40001M09700B"
"Yamaha";"YZ 450 F";"2013";"W40001M09700B"
"Yamaha";"YZ 450 F";"2010";"W40001M09700C"
"Yamaha";"YZ 450 F";"2011";"W40001M09700C"
"Yamaha";"YZ 450 F";"2012";"W40001M09700C"
"Yamaha";"YZ 450 F";"2013";"W40001M09700C"
"Yamaha";"YZ 450 F";"2010";"W40002M09700"
"Yamaha";"YZ 450 F";"2011";"W40002M09700"
"Yamaha";"YZ 450 F";"2012";"W40002M09700"
"Yamaha";"YZ 450 F";"2013";"W40002M09700"
"Honda";"CRF 250 R";"2010";"W40003M07680A"
"Honda";"CRF 250 R";"2011";"W40003M07680A"
"Honda";"CRF 250 R";"2012";"W40003M07680A"
"Honda";"CRF 250 R";"2013";"W40003M07680A"
"Honda";"CRF 250 R";"2010";"W40003M07680B"
"Honda";"CRF 250 R";"2011";"W40003M07680B"
"Honda";"CRF 250 R";"2012";"W40003M07680B"
"Honda";"CRF 250 R";"2013";"W40003M07680B"
"Honda";"CRF 250 R";"2010";"W40003M07680C"
"Honda";"CRF 250 R";"2011";"W40003M07680C"
"Honda";"CRF 250 R";"2012";"W40003M07680C"
"Honda";"CRF 250 R";"2013";"W40003M07680C"
"Honda";"CRF 250 R";"2010";"W40004M07680"
"Honda";"CRF 250 R";"2011";"W40004M07680"
"Honda";"CRF 250 R";"2012";"W40004M07680"
"Honda";"CRF 250 R";"2013";"W40004M07680"
"Husaberg";"FE 250";"2013";"W40006M07600"
"KTM";"250 EXC-F";"2007";"W40006M07600"
"KTM";"250 EXC-F";"2008";"W40006M07600"
"KTM";"250 EXC-F";"2009";"W40006M07600"
"KTM";"250 EXC-F";"2010";"W40006M07600"
"KTM";"250 EXC-F";"2011";"W40006M07600"
"KTM";"250 EXC-F";"2012";"W40006M07600"
"KTM";"250 EXC-F";"2013";"W40006M07600"
"KTM";"250 SX-F";"2006";"W40006M07600"
"KTM";"250 SX-F";"2007";"W40006M07600"
"KTM";"250 SX-F";"2008";"W40006M07600"
"KTM";"250 SX-F";"2009";"W40006M07600"
"KTM";"250 SX-F";"2010";"W40006M07600"
"KTM";"250 SX-F";"2011";"W40006M07600"
"KTM";"250 SX-F";"2012";"W40006M07600"
"KTM";"250 EXC-F";"2007";"W40006M07600"
"KTM";"250 EXC-F";"2008";"W40006M07600"
"KTM";"250 EXC-F";"2009";"W40006M07600"
"KTM";"250 EXC-F";"2010";"W40006M07600"
"KTM";"250 EXC-F";"2011";"W40006M07600"
"KTM";"250 EXC-F";"2012";"W40006M07600"
"Suzuki";"RM-Z 250";"2010";"W40007M07700A"
"Suzuki";"RM-Z 250";"2011";"W40007M07700A"
"Suzuki";"RM-Z 250";"2012";"W40007M07700A"
"Suzuki";"RM-Z 250";"2013";"W40007M07700A"
"Suzuki";"RM-Z 250";"2014";"W40007M07700A"
"Suzuki";"RM-Z 250";"2015";"W40007M07700A"
"Suzuki";"RM-Z 250";"2016";"W40007M07700A"
"Suzuki";"RM-Z 250";"2017";"W40007M07700A"
"Suzuki";"RM-Z 250";"2018";"W40007M07700A"
"Suzuki";"RM-Z 250";"2019";"W40007M07700A"
"Suzuki";"RM-Z 250";"2020";"W40007M07700A"
"Suzuki";"RM-Z 250";"2021";"W40007M07700A"
"Suzuki";"RM-Z 250";"2022";"W40007M07700A"
"Suzuki";"RM-Z 250";"2023";"W40007M07700A"
"Suzuki";"RM-Z 250";"2024";"W40007M07700A"
"Suzuki";"RM-Z 250";"2010";"W40007M07700B"
"Suzuki";"RM-Z 250";"2011";"W40007M07700B"
"Suzuki";"RM-Z 250";"2012";"W40007M07700B"
"Suzuki";"RM-Z 250";"2013";"W40007M07700B"
"Suzuki";"RM-Z 250";"2014";"W40007M07700B"
"Suzuki";"RM-Z 250";"2015";"W40007M07700B"
"Suzuki";"RM-Z 250";"2016";"W40007M07700B"
"Suzuki";"RM-Z 250";"2017";"W40007M07700B"
"Suzuki";"RM-Z 250";"2018";"W40007M07700B"
"Suzuki";"RM-Z 250";"2019";"W40007M07700B"
"Suzuki";"RM-Z 250";"2020";"W40007M07700B"
"Suzuki";"RM-Z 250";"2021";"W40007M07700B"
"Suzuki";"RM-Z 250";"2022";"W40007M07700B"
"Suzuki";"RM-Z 250";"2023";"W40007M07700B"
"Suzuki";"RM-Z 250";"2024";"W40007M07700B"
"Suzuki";"RM-Z 250";"2010";"W40007M07700C"
"Suzuki";"RM-Z 250";"2011";"W40007M07700C"
"Suzuki";"RM-Z 250";"2012";"W40007M07700C"
"Suzuki";"RM-Z 250";"2013";"W40007M07700C"
"Suzuki";"RM-Z 250";"2014";"W40007M07700C"
"Suzuki";"RM-Z 250";"2015";"W40007M07700C"
"Suzuki";"RM-Z 250";"2016";"W40007M07700C"
"Suzuki";"RM-Z 250";"2017";"W40007M07700C"
"Suzuki";"RM-Z 250";"2018";"W40007M07700C"
"Suzuki";"RM-Z 250";"2019";"W40007M07700C"
"Suzuki";"RM-Z 250";"2020";"W40007M07700C"
"Suzuki";"RM-Z 250";"2021";"W40007M07700C"
"Suzuki";"RM-Z 250";"2022";"W40007M07700C"
"Suzuki";"RM-Z 250";"2023";"W40007M07700C"
"Suzuki";"RM-Z 250";"2024";"W40007M07700C"
"Kawasaki";"KX 250";"2010";"W40009M07700A"
"Kawasaki";"KX 250";"2010";"W40009M07700B"
"Kawasaki";"KX 250";"2010";"W40009M07700C"
"Kawasaki";"KX 250";"2010";"W40010M07700"
"Honda";"CRF 250 R";"2010";"W40011M07900"
"Honda";"CRF 250 R";"2011";"W40011M07900"
"Honda";"CRF 250 R";"2012";"W40011M07900"
"Honda";"CRF 250 R";"2013";"W40011M07900"
"Suzuki";"RM-Z 250";"2010";"W40012M07700"
"Suzuki";"RM-Z 250";"2011";"W40012M07700"
"Suzuki";"RM-Z 250";"2012";"W40012M07700"
