REF MADRE;EAN PRODUCT;NOMBRE (SIN TALLA);MARCA;PVP S/IVA;ID IVA;PRODUCT CATEGORIA;CATEGORIAS;CARACTERISTICAS;GAMA;TIPO PRODUCT;PRODUCT;META-DESCRIPCION;URL IMGs;DESCRIPCION LARGA;ANCHURA;ALTURA;PROFUNDIDAD;PESO;ID DISPONIBILIDAD;ACTIVO;DISP. PEDIDOS;TEMPORADA;TALLAS;GENERO;EDAD;COLOR;REF COMBI;EAN COMBI;NOMBRE COMBI:TIPO;;REF;NOMBRE;PROVEEDOR;FAMILIA;SUBFAMILIA;P.COMPRA;PVP S/IVA;EAN;ALT 1;ALT 2;ALT 3;UNIDAD;LOTE;PESO;CODNC;LIBRE1=MARCA;LIBRE2=TEMPORADA;LIBRE3=PRODUCTO;LIBRE4=GAMA/MODELO
KSX1041;19010567;Radiador Derecho KSX HONDA CRF 250 R 2014-2017;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010567.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";16,6;16,4;31,1;2;2;1;1;;;;;;;;;;KSX1041;RADIADOR DERECHO KSX HONDA CRF 250 R 2014-2017;676;KSX;;64,9;131,164;19010567;19010567;1901-0567;;1;0;2;87141090;KSX;;RADIADOR;
KSX1042;19010568;Radiador Izquierdo KSX HONDA CRF 250 R 2014-2015;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010568.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";16,3;16,1;29,6;2;2;1;1;;;;;;;;;;KSX1042;RADIADOR IZQUIERDO KSX HONDA CRF 250 R 2014-2015;676;KSX;;64,9;131,164;19010568;19010568;1901-0568;;1;0;2;87141090;KSX;;RADIADOR;
KSX1031;19010571;Radiador Derecho KSX HONDA CRF 450 R 2013-2014;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010571.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";19,9;15,6;37,8;2;2;1;1;;;;;;;;;;KSX1031;RADIADOR DERECHO KSX HONDA CRF 450 R 2013-2014;676;KSX;;48,68;131,164;19010571;19010571;1901-0571;;1;0;2;87141090;KSX;;RADIADOR;
KSX1032;19010572;Radiador Izquierdo KSX HONDA CRF 450 R 2013-2014;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010572.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";17,1;15,6;29,9;2;2;1;1;;;;;;;;;;KSX1032;RADIADOR IZQUIERDO KSX HONDA CRF 450 R 2013-2014;676;KSX;;64,9;131,164;19010572;19010572;1901-0572;;1;0;2;87141090;KSX;;RADIADOR;
KSX5031;19010573;Radiador Derecho KSX HUSABERG FE 250 2013-2015;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010573.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";18,9;10,8;40,1;2;2;1;1;;;;;;;;;;KSX5031;RADIADOR DERECHO KSX HUSABERG FE 250 2013-2015;676;KSX;;64,9;131,164;19010573;19010573;1901-0573;;1;0;2;87141090;KSX;;RADIADOR;
KSX5032;19010574;Radiador Izquierdo KSX HUSABERG FE 250 2013-2015;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010574.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";18,6;12,1;36,4;2;2;1;1;;;;;;;;;;KSX5032;RADIADOR IZQUIERDO KSX HUSABERG FE 250 2013-2015;676;KSX;;64,9;131,164;19010574;19010574;1901-0574;;1;0;2;87141090;KSX;;RADIADOR;
KSX5041;19010575;Radiador Derecho KSX HUSABERG TE 125 2012-2015;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010575.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";18,9;10,8;40,5;2;2;1;1;;;;;;;;;;KSX5041;RADIADOR DERECHO KSX HUSABERG TE 125 2012-2015;676;KSX;;64,9;131,164;19010575;19010575;1901-0575;;1;0;2;87141090;KSX;;RADIADOR;
KSX5042;19010576;Radiador Izquierdo KSX HUSABERG TE 125 2012-2015;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010576.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";18,6;12,1;35,9;2;2;1;1;;;;;;;;;;KSX5042;RADIADOR IZQUIERDO KSX HUSABERG TE 125 2012-2015;676;KSX;;64,9;131,164;19010576;19010576;1901-0576;;1;0;2;87141090;KSX;;RADIADOR;
KSX5021;19010577;Radiador Derecho KSX HUSABERG FX 450 2010-2011;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010577.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";18,6;10,8;40,2;2;2;1;1;;;;;;;;;;KSX5021;RADIADOR DERECHO KSX HUSABERG FX 450 2010-2011;676;KSX;;64,9;131,164;19010577;19010577;1901-0577;;1;0;2;87141090;KSX;;RADIADOR;
KSX2011;19010578;Radiador Derecho KSX KAWASAKI KX 250 F 2009-2016;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010578.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";16,1;12,8;34,8;2;2;1;1;;;;;;;;;;KSX2011;RADIADOR DERECHO KSX KAWASAKI KX 250 F 2009-2016;676;KSX;;64,9;131,164;19010578;19010578;1901-0578;;1;0;2;87141090;KSX;;RADIADOR;
